"350 WEST 43RD CAR PARK, LLC",Garage - 049,Surcharge/Overcharge - S02,Cash Amount - AMT,NEW YORK,NY
378 5TH PHOTO CORP.,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,NEW YORK,NY
394 WIRELESS INC,Electronic Store - 001,Non-Delivery of Goods - N01,Resolved and Consumer Satisfied - SPF,BRONX,NY
3RD AVE DRY CLEANER AND SHOE REPAIR,Misc Non-Food Retail - 817,Lost Property - L02,Goods Received - GDR,BROOKLYN,NY
3RD AVE WIRELESS INC.,Electronic Store - 001,Billing Dispute - B02,No Satisfactory Agreement - NSA,BRONX,NY
42 WEST,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,Cash Amount - AMT,NEW YORK,NY
45TH ST GIFTS & GALLERY INC.,Electronic Store - 001,Misrepresentation - M01,Credit Card Refund and/or Contract Cancelled - CRC,NEW YORK,NY
45TH ST GIFTS & GALLERY INC.,Electronic Store - 001,Surcharge/Overcharge - S02,Credit Card Refund and/or Contract Cancelled - CRC,NEW YORK,NY
470 VANDERBILT PARKING LLC,Garage - 049,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,NEW YORK,NY
"501 FURNITURE, INC.",Furniture Sales - 242,Damaged Goods - D01,Advised to Sue - ATS,BROOKLYN,NY
512 WIRELESS INC.,Electronic Store - 001,Defective Goods - D02,Store Credit - SCR,FLUSHING,NY
537 FLATBUSH AVENUE CORP.,Electronic Store - 001,Advertising/Misleading - A02,Bill Reduced - BLR,BROOKLYN,NY
575 LEX GARAGE LLC,Garage - 049,Misrepresentation - M01,Resolved and Consumer Satisfied - SPF,NEW YORK,NY
58 EAST LLC,Garage & Parking Lot - 098,"Billing Dispute - B02, Surcharge/Overcharge - S02",Resolved and Consumer Satisfied - SPF,NEW YORK,NY
5A MOTORS INC.,Secondhand Dealer Auto - 005,Defective Goods - D02,Cash Amount - AMT,OAKLAND GDNS,NY
5A MOTORS INC.,Secondhand Dealer Auto - 005,Defective Goods - D02,Referred to Outside - RTO,OAKLAND GDNS,NY
5TH AVE ART & ANTIQUES INC.,Misc Non-Food Retail - 817,Misrepresentation - M01,No Satisfactory Agreement - NSA,NEW YORK,NY
6 EAST 167 ST INC.,Electronic Store - 001,Non-Delivery of Service - N02,Resolved and Consumer Satisfied - SPF,BRONX,NY
705 ELECTRONIC SHOP INC.,Electronic Store - 001,"Surcharge/Overcharge - S02, Wrong Goods - W01",Cash Amount - AMT,NEW YORK,NY
750 6TH AVENUE LLC,Electronic Store - 001,Advertising/Misleading - A02,Referred to Outside - RTO,NEW YORK,NY
751 CVW LLC,Garage - 049,Outstanding Judgment - J01,Referred to Outside - RTO,BROOKLYN,NY
7 HILLS CORP.,Home Improvement Contractor - 100,Quality of Work - Q01,Consumer Took Action - CTA,BROOKLYN,NY
809 COLLISION INC,Tow Truck Company - 124,Misrepresentation - M01,Cash Amount - AMT,BRONX,NY
8122 CORP.,Dry Cleaners - 230,Misrepresentation - M01,Cash Amount - AMT,BROOKLYN,NY
82 ELECTRONICS INC.,Electronic Store - 001,Advertising/Misleading - A02,Consumer Took Action - CTA,JACKSON HTS,NY
8 EAST 83RD GARAGE LLC,Garage - 049,Damaged Goods - D01,Cash Amount - AMT,NEW YORK,NY
92 NASSAU ENTERPRISES LTD.,Catering Establishment - 075,Misrepresentation - M01,Consumer Took Action - CTA,BROOKLYN,NY
"97 USED TIRE SHOP, CORP.",Secondhand Dealer [General] - 006,Defective Goods - D02,Goods Exchanged - GEX,CORONA,NY
99 CENTS AVENUE,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,No Satisfactory Agreement - NSA,BROOKLYN,NY
99 CENTS PLUS,Furniture Sales - 242,Wrong Goods - W01,Consumer Took Action - CTA,BRONX,NY
99 CENTS SAVING & PLUS,Misc Non-Food Retail - 817,Billing Dispute - B02,Cash Amount - AMT,NEW YORK,NY
99 CENTS WAREHOUSE,Misc Non-Food Retail - 817,Damaged Goods - D01,Cash Amount - AMT,BROOKLYN,NY
A1A WIRELESS OF NY CORP.,Electronic Store - 001,Advertising/Misleading - A02,Cash Amount - AMT,BROOKLYN,NY
A1 LAUNDRY INC.,Laundry - 064,Damaged Goods - D01,Cash Amount - AMT,STATEN ISLAND,NY
A1 STAFFING SOLUTIONS LLC,Employment Agency - 034,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,NEW YORK,NY
A1 STAFFING SOLUTIONS LLC,Employment Agency - 034,Misrepresentation - M01,Cash Amount - AMT,NEW YORK,NY
A1 STAFFING SOLUTIONS LLC,Employment Agency - 034,"Misrepresentation - M01, Non-Delivery of Service - N02",Credit Card Refund and/or Contract Cancelled - CRC,CORONA,NY
A1 STAFFING SOLUTIONS LLC,Employment Agency - 034,Billing Dispute - B02,Cash Amount - AMT,NEW YORK,NY
A2A WIRELESS OF NY CORP.,Electronic Store - 001,Refund Policy - R01,Cash Amount - AMT,BROOKLYN,NY
A2A WIRELESS OF NY CORP.,Electronic Store - 001,Advertising/Misleading - A02,Credit Card Refund and/or Contract Cancelled - CRC,BROOKLYN,NY
A2A WIRELESS OF NY CORP.,Electronic Store - 001,Advertising/Misleading - A02,Store Credit - SCR,BROOKLYN,NY
A3 COMM INC.,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,S RICHMOND HL,NY
AAA TRANSMISSION DEPOT,Secondhand Dealer Auto - 005,"Misrepresentation - M01, Non-Delivery of Goods - N01",Advised to Sue - ATS,BROOKLYN,NY
AAA WALLPAPER,Misc Non-Food Retail - 817,Refund Policy - R01,Cash Amount - AMT,BROOKLYN,NY
"A & A CONSULTING ENGINEERS, P.C.",Misc Non-Food Retail - 817,Breach of Contract - B03,Advised to Sue - ATS,KEW GARDENS,NY
AA ELECTRONICS INC.,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,BROOKLYN,NY
"AARON'S, INC.",Furniture Sales - 242,Non-Delivery of Goods - N01,Resolved and Consumer Satisfied - SPF,ATLANTA,GA
ABC CARPET,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,Resolved and Consumer Satisfied - SPF,NEW YORK,NY
ABC EMPLOYMENT CENTER INC.,Employment Agency - 034,Misrepresentation - M01,Cash Amount - AMT,NEW YORK,NY
ABC EMPLOYMENT CENTER INC.,Employment Agency - 034,"Non-Delivery of Service - N02, Refund Policy - R01",Cash Amount - AMT,NEW YORK,NY
"ABC WIRELESS 1, INC.",Electronic Store - 001,Non-Delivery of Goods - N01,Consumer Took Action - CTA,JACKSON HEIGHTS,NY
"AB LIBERTY PAWNBROKERS, INC.",Pawnbroker - 080,Lost Property - L02,Goods Received - GDR,RIDGEWOOD,NY
ABSOLUTE DRYCLEANING INC.,Dry Cleaners - 230,Damaged Goods - D01,Cash Amount - AMT,LONG ISLAND CIT,NY
ACB RECEIVABLES MANAGEMENT INC,Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,ASBURY PARK,NJ
ACCESS 37 PARKING LLC,Garage - 049,Damaged Goods - D01,Cash Amount - AMT,NEW YORK,NY
"ACCOUNTS RECEIVABLE MANAGEMENT SERVICE, INC.",Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,WEST DEPTFORD,NJ
"ACCOUNTS RECEIVABLE MANAGEMENT SERVICE, INC.",Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,WEST DEPTFORD,NJ
ACCURATE ELECTRIC,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,No Business Response - NVR,BROOKLYN,NY
ACE AIR CONDITIONING,Appliances - 244,Exchange Goods/Contract Cancelled - E01,Goods Repaired - GRS,ASTORIA,NY
ACE CLEANERS,Dry Cleaners - 230,Damaged Goods - D01,Advised to Sue - ATS,BRONX,NY
"A.C.E. II, LTD",Debt Collection Agency - 122,Advertising/General - A01,Bill Reduced - BLR,PLANTATION,FL
AC & TELEVISION REPAIR BUREAU,Electronic & Home Appliance Service Dealer - 115,Exchange Goods/Contract Cancelled - E01,No Business Response - NVR,NEW YORK,NY
ACTIVE OF BROADWAY INC.,Appliances - 244,Misrepresentation - M01,Cash Amount - AMT,NEW YORK,NY
ADEQUATE SECURITY PREPARATION & PLACEMENT,Employment Agency - 034,Misrepresentation - M01,No Business Response - NVR,NEW YORK,NY
ADORAMA INC.,Electronic Store - 001,Misrepresentation - M01,Goods Exchanged - GEX,NEW YORK,NY
ADORAMA INC.,Electronic Store - 001,Misrepresentation - M01,Advised to Sue - ATS,NEW YORK,NY
ADVANCE AUTO PARTS,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Resolved and Consumer Satisfied - SPF,STATEN ISLAND,NY
ADVANCE SOLUTIONS SERVICES LLC,Employment Agency - 034,Non-Delivery of Service - N02,Unable to Locate Business - ULV,NEW YORK,NY
AEROSOLES,Wearing Apparel  - 450,Exchange Goods/Contract Cancelled - E01,Store Credit - SCR,EDISON,NJ
AFM FINANCIAL SERVICES LLC,Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,CRANFORD,NJ
"AFNI, INC",Debt Collection Agency - 122,Harassment - H01,Bill Reduced - BLR,BLOOMINGTON,IL
"AFNI, INC.",Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,BLOOMINGTON,IL
"AFNI, INC.",Debt Collection Agency - 122,Misrepresentation - M01,Bill Reduced - BLR,BLOOMINGTON,IL
"AFNI, INC.",Debt Collection Agency - 122,Billing Dispute - B02,Resolved and Consumer Satisfied - SPF,BLOOMINGTON,IL
"AFNI, INC.",Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,BLOOMINGTON,IL
"AFNI, INC.",Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,BLOOMINGTON,IL
A. HANDYMAN CORP.,Laundry - 064,Misrepresentation - M01,Cash Amount - AMT,ROCKAWAY PARK,NY
AIM CONSULTING NY,Employment Agency - 034,Misrepresentation - M01,Advised to Sue - ATS,BROOKLYN,NY
AIR LINK NY LLC,Electronic Store - 001,Misrepresentation - M01,Store Credit - SCR,SAINT ALBANS,NY
AJ MADISON INC.,Appliances - 244,Non-Delivery of Goods - N01,Goods Received - GDR,BROOKLYN,NY
AJRICHIE.COM,Electronic Store - 001,Non-Delivery of Goods - N01,Referred to Outside - RTO,BROOKLYN,NY
AJRICHIES.COM,Electronic Store - 001,Misrepresentation - M01,Cash Amount - AMT,BROOKLYN,NY
AJRICHIES.COM INC.,Electronic Store - 001,Wrong Goods - W01,Advised to Sue - ATS,BROOKLYN,NY
AJRICHIES.COM INC.,Electronic Store - 001,Wrong Goods - W01,Goods Exchanged - GEX,BROOKLYN,NY
AJS  STANDARD HEAT,Fuel Oil Dealer - 814,Billing Dispute - B02,Resolved and Consumer Satisfied - SPF,LYNBROOK,NY
AKI EXPORTERS INC,Secondhand Dealer Auto - 005,Billing Dispute - B02,Cash Amount - AMT,BROOKLYN,NY
"ALAN'S ALLEY VIDEO, INC.",Misc Non-Food Retail - 817,Misrepresentation - M01,Resolved and Consumer Satisfied - SPF,NEW YORK,NY
"A LARA VISUALS, INC. COMPANY",Photography Services - 415,Non-Delivery of Goods - N01,No Business Response - NVR,BROOKLYN,NY
ALBERT DEPOT & SONS INC,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,BROOKLYN,NY
ALDOUS & ASSOCIATES P.L.L.C.,Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,HOLLADAY,UT
"ALDOUS & ASSOCIATES, PLLC",Debt Collection Agency - 122,Billing Dispute - B02,Resolved and Consumer Satisfied - SPF,HOLLADAY,UT
ALEJANDRO FURNITURE OF NY INC,Furniture Sales - 242,Non-Delivery of Goods - N01,Store Credit - SCR,JACKSON HEIGHTS,NY
ALEJANDRO FURNITURE OF NY INC,Furniture Sales - 242,Non-Delivery of Goods - N01,No Satisfactory Agreement - NSA,JACKSON HTS,NY
"ALEXANDER, ANNE",Employment Agency - 034,Billing Dispute - B02,Cash Amount - AMT,NEW YORK,NY
ALEXANDRO FURNITURE,Furniture Sales - 242,Billing Dispute - B02,Credit Card Refund and/or Contract Cancelled - CRC,NEW YORK,NY
ALEXANDROS FUR STORAGE,Mini-Storage Company - 830,Non-Delivery of Goods - N01,No Satisfactory Agreement - NSA,NEW YORK,NY
ALEXIS FURNITURE,Furniture Sales - 242,Damaged Goods - D01,Consumer Took Action - CTA,BRONX,NY
ALEX & SONS FURNITURE,Furniture Sales - 242,Damaged Goods - D01,Goods Exchanged - GEX,JAMAICA,NY
ALEX & SONS FURNITURE,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,Consumer Took Action - CTA,JAMAICA,NY
ALFANO PLUMBING PARTS,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,Cash Amount - AMT,CORONA,NY
"ALL ABOUT AUTOMOTIVE II, INC.",Tow Truck Company - 124,Misrepresentation - M01,Cash Amount - AMT,BROOKLYN,NY
"ALL ABOUT AUTOMOTIVE II, INC.",Tow Truck Company - 124,Misrepresentation - M01,Cash Amount - AMT,BROOKLYN,NY
"ALL ABOUT AUTOMOTIVE II, INC.",Tow Truck Company - 124,Billing Dispute - B02,Cash Amount - AMT,BROOKLYN,NY
"ALL ABOUT AUTOMOTIVE II, INC.",Tow Truck Company - 124,Misrepresentation - M01,Resolved and Consumer Satisfied - SPF,BROOKLYN,NY
ALL ABOUT AUTOMOTIVE INC,Tow Truck Company - 124,Billing Dispute - B02,Cash Amount - AMT,BROOKLYN,NY
ALL APPLIANCE REPAIR SERVICE OF NYC,Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,Advised to Sue - ATS,NEW YORK,NY
ALL BORO TELEVISION SERVICE,Electronic & Home Appliance Service Dealer - 115,Advertising/General - A01,Cash Amount - AMT,BROOKLYN,NY
ALL BORO TOWING L.L.C.,Tow Truck Company - 124,Billing Dispute - B02,Cash Amount - AMT,BRONX,NY
ALL CELLULAR NY LLC,Electronic Store - 001,Defective Goods - D02,Credit Card Refund and/or Contract Cancelled - CRC,SAINT ALBANS,NY
ALLGATE FINANCIAL LLC,Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,CHICAGO,IL
"ALLIANCEONE RECEIVABLES MANAGEMENT, INC.",Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,EAGAN,MN
"ALLIANCEONE RECEIVABLES MANAGEMENT, INC.",Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,EAGAN,MN
"ALLIANCEONE RECEIVABLES MANAGEMENT, INC.",Debt Collection Agency - 122,Billing Dispute - B02,Resolved and Consumer Satisfied - SPF,MAUMEE,OH
"ALLIANCEONE RECEIVABLES MANAGEMENT, INC.",Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,SAINT PAUL,MN
ALLIANZ SECURITY PROTECTION,Misc Non-Food Retail - 817,Non-Delivery of Service - N02,Unable to Locate Business - ULV,NEW YORK,NY
ALLIED ACCOUNT SERVICES INC.,Debt Collection Agency - 122,Billing Dispute - B02,Resolved and Consumer Satisfied - SPF,BELLMORE,NY
ALLIED INTERSTATE LLC,Debt Collection Agency - 122,Billing Dispute - B02,Referred to Outside - RTO,COLUMBUS,OH
ALLIED INTERSTATE LLC,Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,COLUMBUS,OH
ALLIED INTERSTATE LLC,Debt Collection Agency - 122,Harassment - H01,Resolved and Consumer Satisfied - SPF,COLUMBUS,OH
ALLIED INTERSTATE LLC,Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,WARRENTON,VA
ALLIED INTERSTATE LLC,Debt Collection Agency - 122,Harassment - H01,Bill Reduced - BLR,COLUMBUS,OH
ALL IN ONE SOLUTIONS,Employment Agency - 034,Advertising/Misleading - A02,Resolved and Consumer Satisfied - SPF,NEW YORK,NY
ALL STAR TOWING INC.,Tow Truck Company - 124,Misrepresentation - M01,Cash Amount - AMT,BRONX,NY
ALL STATE TV & APPLIANCE SERVICE,Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,Out of Business - OOB,BROOKLYN,NY
ALL STATE TV & APPLIANCE SERVICE,Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,Advised to Sue - ATS,BROOKLYN,NY
ALL WAYS SEWER AND DRAIN INC.,Misc Non-Food Retail - 817,Misrepresentation - M01,Advised to Sue - ATS,FLUSHING,NY
ALLY FINANCIAL INC CHGND FRM GMAC INC,Debt Collection Agency - 122,Harassment - H01,Resolved and Consumer Satisfied - SPF,BLOOMINGTON,MN
ALMA EMPLOYMENT AGENCY CORPORATION,Employment Agency - 034,Non-Delivery of Service - N02,Cash Amount - AMT,NEW YORK,NY
ALM WIRELESS,Electronic Store - 001,Surcharge/Overcharge - S02,Cash Amount - AMT,NEW YORK,NY
ALM WIRELESS,Electronic Store - 001,"Misrepresentation - M01, Surcharge/Overcharge - S02",Cash Amount - AMT,BROOKLYN,NY
ALOHA 7 FRENCH CLEANERS,Dry Cleaners - 230,Damaged Goods - D01,Unable to Locate Business - ULV,FLUSHING,NY
ALOHA FRENCH CLEANERS,Dry Cleaners - 230,Non-Delivery of Service - N02,Cash Amount - AMT,FLUSHING,NY
"ALPHATECH US, INC.",Electronic & Home Appliance Service Dealer - 115,Damaged Goods - D01,Advised to Sue - ATS,REGO PARK,NY
"ALPIAN GARMENT CARE OF QUEENS, INC.",Dry Cleaners - 230,Damaged Goods - D01,Cash Amount - AMT,WOODSIDE,NY
AMAS WIRELESS INC,Electronic Store - 001,Defective Goods - D02,Cash Amount - AMT,NEW YORK,NY
AMAZING KRESKIN,Misc Non-Food Retail - 817,Misrepresentation - M01,No Business Response - NVR,NEW YORK,NY
AMERICAN EAGLE FURNITURE & LIGHTING CORP.,Furniture Sales - 242,Wrong Goods - W01,Goods Received - GDR,ASTORIA,NY
"AMERICAN EMERGENCY SERVICES, INC.",Misc Non-Food Retail - 817,Billing Dispute - B02,No Satisfactory Agreement - NSA,HOWARD BEACH,NY
AMERICAN EUROPEAN TRAVEL,Travel Agency - 440,Exchange Goods/Contract Cancelled - E01,Advised to Sue - ATS,NEW YORK,NY
AMERICAN EUROPEAN TRAVEL INC.,Travel Agency - 440,Billing Dispute - B02,Consumer Took Action - CTA,NEW YORK,NY
AMERICAN EUROPIAN AUTO MALL INC.,Secondhand Dealer Auto - 005,Damaged Goods - D01,Consumer Took Action - CTA,BROOKLYN,NY
AMERICAN EUROPIAN AUTO MALL INC.,Secondhand Dealer Auto - 005,Misrepresentation - M01,Advised to Sue - ATS,BROOKLYN,NY
AMERICAN EUROPIAN AUTO MALL INC.,Secondhand Dealer Auto - 005,Advertising/General - A01,Out of Business - OOB,BROOKLYN,NY
AMERICAN EXPRESS,Debt Collection Agency - 122,Billing Dispute - B02,Resolved and Consumer Satisfied - SPF,EL PASO,TX
AMERICAN NATIONAL ARTWORK AUCTION,Auction House - 128,Exchange Goods/Contract Cancelled - E01,Advised to Sue - ATS,FLUSHING,NY
"AMSHER COLLECTION SERVICES, INC.",Debt Collection Agency - 122,Billing Dispute - B02,Bill Reduced - BLR,ROSWELL,GA
AMT WARRANTY CORP,Other,Surcharge/Overcharge - S02,Cash Amount - AMT,NEW YORK,NY
AND-1 TOWING INC.,Tow Truck Company - 124,Misrepresentation - M01,Referred to Outside - RTO,QUEENS VILLAGE,NY
ANDY'S ALL VAN INC.,Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,Consumer Took Action - CTA,BROOKLYN,NY
ANDY'S ALL VAN INC.,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,Out of Business - OOB,BROOKLYN,NY
ANGEL AUTO REPAIR INC.,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,Goods Repaired - GRS,BROOKLYN,NY
ANGEL AUTO REPAIR INC.,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,BROOKLYN,NY
"ANTHONY BROSS, INC",Secondhand Dealer [General] - 006,Damaged Goods - D01,Advised to Sue - ATS,BROOKLYN,NY
"ANTIQUORUM USA, INC.",Auction House - 128,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,NEW YORK,NY
APEX AUTO DEALERS II INC.,Secondhand Dealer Auto - 005,Damaged Goods - D01,Goods Repaired - GRS,BRONX,NY
APEX AUTO DEALERS II INC.,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,Advised to Sue - ATS,BRONX,NY
APPLE COMMUTER INC.,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,Cash Amount - AMT,NEW YORK,NY
"Apple Recovery, LLC",Debt Collection Agency - 122,Billing Dispute - B02,Resolved and Consumer Satisfied - SPF,TEMPE,AZ
"APPLE TOWING CO., INC.",Tow Truck Company - 124,Surcharge/Overcharge - S02,Credit Card Refund and/or Contract Cancelled - CRC,STATEN ISLAND,NY
APPLIANCE PRO NYC INC.,Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,Resolved and Consumer Satisfied - SPF,NEW YORK,NY
APPLIANCES CONNECTION,Appliances - 244,Damaged Goods - D01,Cash Amount - AMT,BROOKLYN,NY
APPROVED OIL CO.,Fuel Oil Dealer - 814,Non-Delivery of Service - N02,Advised to Sue - ATS,BROOKLYN,NY
APPROVED OIL CO.,Fuel Oil Dealer - 814,Non-Delivery of Service - N02,Resolved and Consumer Satisfied - SPF,BROOKLYN,NY
APPROVED OIL CO.,Fuel Oil Dealer - 814,Non-Delivery of Service - N02,Resolved and Consumer Satisfied - SPF,BROOKLYN,NY
ARANG RESTAURANT,Restaurant - 818,Surcharge/Overcharge - S02,Consumer Took Action - CTA,NEW YORK,NY
Arbitration Services,Debt Collection Agency - 122,Harassment - H01,Resolved and Consumer Satisfied - SPF,ST PETERSBURG,FL
ARCH DINER,Restaurant - 818,Surcharge/Overcharge - S02,Cash Amount - AMT,BROOKLYN,NY
ARGIINGTON INC,Furniture Sales - 242,Damaged Goods - D01,Unable to Locate Business - ULV,BROOKLYN,NY
